"Name","Type","Detection.Method","Mass","Radius","Flux","Tsurf","Period","Distance","Age","ESI","Habitable"
"Kepler-1879 b","G Hot Superterran","Transit",4.92,2.06,266,1162,10.6,2045,4.3,0.26,"No"
"Kepler-92 d","G Hot Superterran","Transit",11.9,2.07,44.1,740,49.4,1558,5.2,0.28,"No"
"Kepler-1837 b","G Hot Superterran","Transit",4.92,2.07,202,1085,5.91,4009,0.5,0.26,"No"
"Kepler-1679 b","G Hot Superterran","Transit",4.93,2.07,79.1,858,9.75,2965,0.4,0.27,"No"
"Kepler-477 b","K Hot Superterran","Transit",4.94,2.07,51.2,769,11.1,1196,2.09,0.28,"No"
"Kepler-654 b","G Hot Superterran","Transit",4.94,2.07,232,1123,13.7,3177,5.37,0.26,"No"
"Kepler-1606 b","G Warm Superterran","Transit",4.94,2.07,1.64,325,196,2711,4.27,0.7,"Yes"
"Kepler-1396 b","F Hot Superterran","Transit",4.94,2.07,80.9,862,18.2,3478,2.75,0.27,"No"
"Kepler-1092 b","G Hot Superterran","Transit",4.94,2.07,13.9,555,58.6,3200,3.8,0.34,"Yes"
"TOI-262 b","K Hot Superterran","Transit",4.94,2.07,19.3,603,11.1,143,0.8,0.32,"Yes"
"Kepler-969 b","K Hot Superterran","Transit",4.94,2.07,9.94,510,34.2,1273,1.51,0.37,"Yes"
"K2-277 b","G Hot Superterran","Transit",4.94,2.07,194,1074,6.33,368,4.37450250455373,0.26,"No"
"Kepler-988 b","K Hot Superterran","Transit",4.94,2.07,7.62,478,17.8,994,3.16,0.4,"Yes"
"K2-64 b","G Hot Superterran","Transit",4.94,2.07,152,1010,6.53,1630,4.37450250455373,0.26,"No"
"K2-154 c","M Hot Superterran","Transit",4.94,2.07,20.9,615,7.95,421,4.37450250455373,0.31,"Yes"
"HD 108236 c","G Hot Superterran","Transit",4.94,2.07,184,1059,6.2,210,6.7,0.26,"No"
"K2-382 b","G Hot Superterran","Transit",4.95,2.07,23.9,636,21.7,908,4.37450250455373,0.3,"Yes"
"K2-3 b","M Hot Superterran","Transit",5.11,2.08,10.6,517,10.1,143,6.9,0.36,"Yes"
"TOI-1801 b","M Hot Superterran","Transit",5.74,2.08,9.67,507,10.6,100,0.7,0.37,"Yes"
"Kepler-237 c","K Hot Superterran","Transit",4.98,2.08,66.1,820,8.1,2145,13.8,0.27,"No"
"Kepler-1040 b","G Hot Superterran","Transit",4.98,2.08,2.1,346,201,1572,4.17,0.65,"Yes"
"Kepler-1613 b","F Hot Superterran","Transit",4.98,2.08,6234,2556,1.52,4919,3.55,0.25,"No"
"Kepler-528 b","G Hot Superterran","Transit",4.98,2.08,72.5,839,19.8,2557,5.5,0.27,"No"
"Kepler-1195 b","K Hot Superterran","Transit",4.98,2.08,67.9,825,8.5,2995,4.47,0.27,"No"
"Kepler-405 b","G Hot Superterran","Transit",4.98,2.08,51.7,771,10.6,3473,4.68,0.28,"No"
"Kepler-900 b","K Hot Superterran","Transit",4.98,2.08,53.5,778,6.99,1590,4.57,0.28,"No"
"Kepler-1188 b","G Hot Superterran","Transit",4.98,2.08,137,984,17.1,5601,4.17,0.26,"No"
"K2-274 b","K Hot Superterran","Transit",4.98,2.08,33.3,691,14.1,744,4.37450250455373,0.29,"Yes"
"Kepler-1866 b","G Hot Superterran","Transit",4.99,2.08,134,980,11.7,3185,0.3,0.26,"No"
"HR 858 b","F Hot Superterran","Transit",5,2.08,1069,1616,3.59,104,4.37450250455373,0.25,"No"
"Kepler-1823 b","F Hot Superterran","Transit",5,2.09,82.9,868,21.1,2364,1.88,0.27,"No"
"Kepler-317 b","G Hot Superterran","Transit",109,2.09,166,1033,5.52,3067,3.72,0.26,"No"
"Kepler-1610 c","K Hot Superterran","Transit",5.02,2.09,6.09,452,45,2819,4.68,0.43,"Yes"
"Kepler-934 b","K Hot Superterran","Transit",5.02,2.09,4.71,423,55.7,1985,4.47,0.48,"Yes"
"TOI-500 c","K Hot Superterran","Radial Velocity",5.03,2.09,51.2,768,6.64,154,5,0.28,"No"
"Kepler-691 b","M Hot Superterran","Transit",5.02,2.09,11.8,532,8.11,910,3.98,0.35,"Yes"
"Kepler-1047 b","G Hot Superterran","Transit",5.02,2.09,30.7,677,56.2,2666,4.47,0.29,"Yes"
"Kepler-602 b","F Hot Superterran","Transit",5.02,2.09,141,992,15.3,3781,3.16,0.26,"No"
"Kepler-151 c","G Hot Superterran","Transit",5.02,2.09,18.1,593,24.7,2119,4.6,0.32,"Yes"
"Kepler-296 d","M Hot Superterran","Transit",5.02,2.09,2.36,348,19.9,544,13.9,0.62,"Yes"
"Kepler-372 c","F Hot Superterran","Transit",5.02,2.09,88.3,881,20.1,4872,2.35,0.27,"No"
"Kepler-155 b","M Hot Superterran","Transit",5.02,2.09,19.7,605,5.93,957,2.9,0.31,"Yes"
"EPIC 206317286 c","K Hot Superterran","Transit",5.03,2.09,16.6,580,17.5,1025,4.37450250455373,0.33,"Yes"
"K2-323 b","M Hot Superterran","Transit",5.06,2.1,2.82,372,24.9,385,4.37450250455373,0.58,"Yes"
"Kepler-1312 b","G Hot Superterran","Transit",5.06,2.1,218,1106,5.45,975,2,0.26,"No"
"K2-286 b","M Hot Superterran","Transit",5.06,2.1,2.88,374,27.4,248,4.37450250455373,0.58,"Yes"
"Kepler-54 b","M Hot Superterran","Transit",21.5,2.1,13.1,546,8.01,886,13.8,0.34,"Yes"
"Kepler-22 b","G Warm Superterran","Transit",9.1,2.1,1.41,275,289,634,7,0.72,"Yes"
"Kepler-52 b","M Hot Superterran","Transit",135,2.1,24.9,642,7.88,1048,3.55,0.3,"Yes"
"Kepler-645 b","F Hot Superterran","Transit",5.06,2.1,1176,1684,3.28,3827,2.95,0.25,"No"
"Kepler-519 b","K Hot Superterran","Transit",5.06,2.1,18.2,594,24.3,804,1.91,0.32,"Yes"
"Kepler-360 c","F Hot Superterran","Transit",5.06,2.1,131,973,7.19,2857,3.4,0.26,"No"
"Kepler-1529 b","K Hot Superterran","Transit",5.06,2.1,109,930,5.34,2155,4.79,0.26,"No"
"K2-57 b","K Hot Superterran","Transit",5.06,2.1,26.6,653,9.01,861,4.37450250455373,0.3,"Yes"
"K2-4 b","K Hot Superterran","Transit",5.06,2.1,20.1,608,10,756,4.37450250455373,0.31,"Yes"
"Kepler-336 c","G Hot Superterran","Transit",5.06,2.1,214,1101,9.6,2507,4.9,0.26,"No"
"Kepler-1870 b","G Hot Superterran","Transit",5.07,2.1,289,1186,3.61,1328,13.4,0.25,"No"
"Kepler-829 b","G Hot Superterran","Transit",5.1,2.11,238,1130,6.88,3502,4.68,0.25,"No"
"Kepler-906 b","F Hot Superterran","Transit",5.1,2.11,22.4,625,41.7,2471,1.86,0.31,"Yes"
"Kepler-705 b","M Warm Superterran","Transit",5.1,2.11,0.77,269,56.1,903,3.89,0.73,"Yes"
"Kepler-1484 b","G Hot Superterran","Transit",5.1,2.11,166,1033,30.5,9392,3.98,0.26,"No"
"Kepler-794 b","G Hot Superterran","Transit",5.1,2.11,298,1196,11.1,3037,4.07,0.25,"No"
"61 Vir b","G Hot Superterran","Radial Velocity",5.1,2.11,321,1214,4.21,27.7,8.96,0.25,"No"
"Kepler-518 b","G Hot Superterran","Transit",5.1,2.11,139,987,8.51,1102,1.35,0.26,"No"
"Kepler-1580 b","F Hot Superterran","Transit",5.1,2.11,80.8,862,56.6,3268,2.75,0.27,"No"
"K2-345 b","M Hot Superterran","Transit",5.1,2.11,8.14,485,10.4,529,4.37450250455373,0.39,"Yes"
"HD 63433 b","G Hot Superterran","Transit",5.11,2.11,151,998,7.11,73.1,0.41,0.26,"No"
"HD 110113 c","G Hot Neptunian","Radial Velocity",10.5,2.11,201,971.489553461696,6.74,346,4,0.26,"No"
"K2-177 b","F Hot Superterran","Transit",5.13,2.12,147,1002,14.2,1605,4.37450250455373,0.26,"No"
"K2-412 b","G Hot Superterran","Transit",5.13,2.12,247,1140,5.94,2133,4.37450250455373,0.25,"No"
"Kepler-1828 b","G Hot Superterran","Transit",5.13,2.12,90.7,887,10.3,2843,0.4,0.26,"No"
"Kepler-1880 b","K Hot Superterran","Transit",5.13,2.12,59.3,798,6.31,1992,13.6,0.27,"No"
"Kepler-1942 b","G Hot Superterran","Transit",5.13,2.12,316,1212,4.63,2747,4.37450250455373,0.25,"No"
"Kepler-1895 b","K Hot Superterran","Transit",5.14,2.12,155,1016,6.07,3209,1.2,0.26,"No"
"HD 97658 b","K Hot Superterran","Radial Velocity",8.3,2.12,54.2,780,9.49,70.3,3.9,0.27,"No"
"K2-247 b","K Hot Superterran","Transit",5.14,2.12,141,993,2.25,841,4.37450250455373,0.26,"No"
"Kepler-161 b","K Hot Superterran","Transit",12.1,2.12,122,957,4.92,1417,4.68,0.26,"No"
"Kepler-479 b","K Hot Superterran","Transit",5.14,2.12,39.5,721,12.5,1124,4.27,0.28,"No"
"Kepler-789 b","G Hot Superterran","Transit",5.14,2.12,346,1241,8.64,4827,3.72,0.25,"No"
"Kepler-758 d","F Hot Superterran","Transit",5.14,2.12,174,1045,20.5,4899,3.8,0.26,"No"
"Kepler-814 b","F Hot Superterran","Transit",5.14,2.12,966,1603,6.15,6705,3.02,0.25,"No"
"Kepler-877 b","K Hot Superterran","Transit",5.14,2.12,26.8,654,18.5,1964,4.57,0.3,"Yes"
"Kepler-964 b","G Hot Superterran","Transit",5.14,2.12,43.7,739,13.5,1482,1.91,0.28,"No"
"Kepler-158 b","K Hot Superterran","Transit",5.14,2.12,14.2,558,16.7,1027,13.9,0.34,"Yes"
"Kepler-544 b","F Hot Superterran","Transit",5.14,2.12,140,989,21.4,3141,2.63,0.26,"No"
"Kepler-53 d","F Hot Superterran","Transit",5.14,2.12,131,973,9.75,4455,0.3,0.26,"No"
"Kepler-984 b","G Hot Superterran","Transit",5.14,2.12,14.4,560,43,1500,3.98,0.33,"Yes"
"Kepler-1219 b","G Hot Superterran","Transit",5.14,2.12,419,1301,16.1,2873,4.37,0.25,"No"
"Kepler-308 b","G Hot Superterran","Transit",5.14,2.12,94.5,897,9.69,4357,0.5,0.26,"No"
"TOI-1749 c","M Hot Superterran","Transit",14,2.12,35.6,702,4.49,324,0.8,0.28,"No"
"K2-215 b","G Hot Superterran","Transit",5.16,2.12,147,1001,8.27,1317,4.37450250455373,0.26,"No"
"Kepler-1504 b","G Hot Superterran","Transit",5.18,2.13,21.4,618,82.3,7944,4.47,0.31,"Yes"
"Kepler-200 b","G Hot Superterran","Transit",5.18,2.13,159,1021,8.59,2171,6.3,0.26,"No"
"GJ 3090 b","M Hot Superterran","Transit",3.34,2.13,47.9,741,2.85,73.3,4.37450250455373,0.28,"No"
"Kepler-214 c","F Hot Superterran","Transit",5.18,2.13,86.2,876,28.8,3941,1.58,0.26,"No"
"Kepler-267 c","M Hot Superterran","Transit",5.18,2.13,16.4,578,6.88,864,3.31,0.32,"Yes"
"Kepler-283 b","K Hot Superterran","Transit",5.18,2.13,15.5,570,11,1526,3.09,0.33,"Yes"
"Kepler-930 b","F Hot Superterran","Transit",5.18,2.13,19.8,606,71.5,2767,2.34,0.31,"Yes"
"GJ 514 b","M Warm Superterran","Radial Velocity",5.2,2.13,0.27,198,140,24.8,0.8,0.52,"Yes"
"Kepler-1161 b","K Hot Superterran","Transit",5.18,2.13,36.2,705,10.7,1786,3.39,0.28,"No"
"Kepler-942 b","K Hot Superterran","Transit",5.18,2.13,4.92,428,45,705,4.17,0.47,"Yes"
"KMT-2017-BLG-1003L b","Superterran","Microlensing",5.19,2.13,842.853577881192,971.489553461696,79940.7559943925,23124,4.37450250455373,0.257026875699888,"No"
"Kepler-622 b","K Hot Superterran","Transit",5.18,2.13,14.4,560,14.3,928,3.47,0.33,"Yes"
"Kepler-971 b","G Hot Superterran","Transit",5.18,2.13,73.4,842,9.59,1104,4.47,0.27,"No"
"HD 40307 f","K Hot Superterran","Radial Velocity",5.2,2.13,3.76,400,51.8,42.2,4.5,0.52,"Yes"
"Kepler-1487 b","F Hot Superterran","Transit",5.18,2.13,447,1322,7.32,3309,1.95,0.25,"No"
"Kepler-1777 b","G Hot Superterran","Transit",5.19,2.13,87.2,879,12.2,2019,3.1,0.26,"No"
"TOI-270 d","M Hot Superterran","Transit",4.78,2.13,3.74,399,11.4,73.3,4.37450250455373,0.52,"Yes"
"GJ 433 d","M Warm Superterran","Radial Velocity",5.22,2.14,1.06,291,36.1,29.6,4.37450250455373,0.74,"Yes"
"Kepler-1212 b","F Hot Superterran","Transit",5.22,2.14,138,987,12.9,4294,3.24,0.26,"No"
"Kepler-813 b","G Hot Superterran","Transit",5.22,2.14,41,728,19.1,2739,3.98,0.28,"No"
"K2-62 b","K Hot Superterran","Transit",5.22,2.14,46.4,750,6.67,366,4.37450250455373,0.28,"No"
"K2-62 c","K Hot Superterran","Transit",5.22,2.14,12.6,541,16.2,366,4.37450250455373,0.34,"Yes"
"Kepler-1236 b","G Hot Superterran","Transit",5.22,2.14,12.9,544,31.1,3260,4.07,0.34,"Yes"
"Kepler-1160 b","G Hot Superterran","Transit",5.22,2.14,79.6,859,7.97,3514,4.57,0.26,"No"
"Kepler-437 b","K Hot Superterran","Transit",5.22,2.14,2.09,345,66.7,991,2.9,0.64,"Yes"
"Kepler-1403 b","F Hot Superterran","Transit",5.22,2.14,574,1408,5.19,7057,3.31,0.25,"No"
"Kepler-401 c","F Hot Superterran","Transit",5.27,2.15,50.9,768,47.3,3149,3.55,0.27,"No"
"Kepler-254 c","G Hot Superterran","Transit",3.2,2.15,68,826,12.4,4531,0.3,0.27,"No"
"K2-71 b","K Hot Superterran","Transit",5.27,2.15,9.69,507,6.99,499,4.37450250455373,0.37,"Yes"
"Kepler-1286 b","G Hot Superterran","Transit",5.27,2.15,136,983,11.3,4417,4.17,0.26,"No"
"Kepler-1364 b","F Hot Superterran","Transit",5.27,2.15,375,1266,13.3,3447,1.58,0.25,"No"
"Kepler-120 b","M Hot Superterran","Transit",8.5,2.15,69.5,830,6.31,1267,3.63,0.27,"No"
"Kepler-61 b","K Hot Superterran","Transit",5.27,2.15,1.79,328,59.9,1092,1,0.67,"Yes"
"Kepler-252 c","M Hot Superterran","Transit",5.27,2.15,25.6,646,10.8,1237,13.9,0.3,"Yes"
"Kepler-566 b","K Hot Superterran","Transit",5.27,2.15,19.2,602,18.4,1840,4.57,0.31,"Yes"
"Kepler-1013 b","K Hot Superterran","Transit",5.27,2.15,15.7,572,18.9,1377,4.27,0.33,"Yes"
"Kepler-289 b","G Hot Superterran","Transit",7.3,2.15,26.1,650,34.5,2297,0.65,0.3,"Yes"
"K2-42 b","K Hot Superterran","Transit",5.27,2.15,52.1,772,6.69,1294,4.37450250455373,0.27,"No"
"Kepler-364 c","F Hot Superterran","Transit",5.27,2.15,23.1,630,60,2907,0.63,0.3,"Yes"
"Kepler-256 c","G Hot Superterran","Transit",5.27,2.15,431,1310,3.39,3347,9.55,0.25,"No"
"OGLE-2017-BLG-1806L b","Superterran","Microlensing",5.27,2.15,842.853577881192,971.489553461696,79940.7559943925,20873,4.37450250455373,0.257026875699888,"No"
"Kepler-1322 c","G Hot Superterran","Transit",5.29,2.15,186,1063,6.46,4404,0.4,0.25,"No"
"HD 86226 c","G Hot Superterran","Transit",7.25,2.16,492,1354,3.98,148,4.6,0.25,"No"
"Kepler-1474 b","G Hot Superterran","Transit",5.31,2.16,24.1,637,36.4,3851,3.8,0.3,"Yes"
"Kepler-291 b","F Hot Superterran","Transit",5.31,2.16,533,1382,3.55,5826,0.3,0.25,"No"
"Kepler-745 b","G Hot Superterran","Transit",5.31,2.16,283,1180,9.93,5806,4.07,0.25,"No"
"Kepler-142 d","G Hot Superterran","Transit",5.31,2.16,21.8,621,41.8,1789,8.2,0.3,"Yes"
"Kepler-1621 b","F Hot Superterran","Transit",5.31,2.16,17,584,92.3,5321,2.69,0.32,"Yes"
"Kepler-308 c","G Hot Superterran","Transit",5.31,2.16,50.6,767,15.4,4357,0.5,0.27,"No"
"Kepler-1455 b","K Hot Superterran","Transit",5.31,2.16,1.57,321,49.3,1166,4.17,0.7,"Yes"
"HR 858 d","F Hot Superterran","Transit",5.32,2.16,232,1105,11.2,104,4.37450250455373,0.25,"No"
"TOI-904 c","M Warm Superterran","Transit",5.34,2.17,0.52,244,84,150,1.5,0.66,"Yes"
"Kepler-102 e","K Hot Superterran","Transit",4.7,2.17,19.4,602,16.1,351,1.1,0.31,"Yes"
"Kepler-1009 b","K Hot Superterran","Transit",5.35,2.17,16.3,577,11.4,1157,3.16,0.32,"Yes"
"HD 20781 c","K Hot Superterran","Radial Velocity",5.33,2.17,48.8,759,13.9,117,4.37450250455373,0.27,"No"
"Kepler-1653 b","K Warm Superterran","Transit",5.35,2.17,1.04,290,140,2462,7.7,0.74,"Yes"
"Kepler-499 b","G Hot Superterran","Transit",5.35,2.17,147,1001,5.63,1815,4.57,0.26,"No"
"Kepler-797 b","G Hot Superterran","Transit",5.35,2.17,90.1,886,27.1,4289,3.89,0.26,"No"
"K2-243 b","F Hot Superterran","Transit",5.35,2.17,226,1115,11.5,870,4.37450250455373,0.25,"No"
"Kepler-50 c","F Hot Superterran","Transit",8.2,2.17,453,1327,9.38,815,3.8,0.25,"No"
"Kepler-1329 b","K Hot Superterran","Transit",5.35,2.17,30.4,675,9.34,1917,5.62,0.29,"Yes"
"Kepler-304 c","K Hot Superterran","Transit",5.35,2.17,74.7,845,5.32,1417,2.09,0.26,"No"
"GJ 536 b","M Hot Superterran","Radial Velocity",5.36,2.17,9.49,504,8.71,34,0.4,0.37,"Yes"
"EPIC 212424622 b","G Hot Superterran","Transit",5.35,2.17,77.4,853,18.1,1995,4.37450250455373,0.26,"No"
"Kepler-1742 b","G Hot Superterran","Transit",5.38,2.18,9.78,508,49.5,2183,0.5,0.37,"Yes"
"TOI-1470 b","M Hot Superterran","Transit",7.32,2.18,48.5,746,2.53,169,1.3,0.27,"No"
"HD 158259 d","G Hot Superterran","Radial Velocity",5.41,2.18,448,1324,5.2,88.2,4.37450250455373,0.25,"No"
"K2-125 b","M Hot Superterran","Transit",5.39,2.18,1.57,321,21.8,404,4.37450250455373,0.69,"Yes"
"Kepler-732 b","M Hot Superterran","Transit",5.39,2.18,8.83,495,9.47,570,4.47,0.38,"Yes"
"TOI-238 c (N)","K Hot Superterran","Radial Velocity",6.7,2.18,64.6,794,8.47,262,4.3,0.27,"No"
"Kepler-245 c","K Hot Superterran","Transit",225,2.18,26.1,650,17.5,2809,3.63,0.29,"Yes"
"Kepler-790 b","K Hot Superterran","Transit",5.39,2.18,36.9,709,13.7,2293,4.9,0.28,"No"
"Kepler-113 c","K Hot Superterran","Transit",8.7,2.18,43.7,739,8.93,855,6.89,0.28,"No"
"Kepler-1016 b","G Hot Superterran","Transit",5.39,2.18,1411,1763,1.95,4575,3.89,0.25,"No"
"Kepler-594 b","G Hot Superterran","Transit",5.39,2.18,54.1,780,13.6,2508,4.27,0.27,"No"
"Kepler-662 b","K Hot Superterran","Transit",5.39,2.18,22.2,624,21.7,2660,3.63,0.3,"Yes"
"Kepler-261 b","K Hot Superterran","Transit",5.39,2.18,43.7,739,10.4,1035,3.98,0.28,"No"
"Kepler-1444 b","G Hot Superterran","Transit",5.39,2.18,25.8,648,33.4,1042,4.79,0.29,"Yes"
"Kepler-85 c","G Hot Superterran","Transit",20.9,2.18,60.5,802,12.5,2495,4.37,0.27,"No"
"Kepler-250 d","K Hot Superterran","Transit",5.39,2.18,21.6,620,17.6,2480,13.2,0.3,"Yes"
"K2-379 b","K Hot Superterran","Transit",5.4,2.18,37.1,710,8.78,594,4.37450250455373,0.28,"No"
"K2-389 b","G Hot Superterran","Transit",5.41,2.18,220,1108,8.58,845,4.37450250455373,0.25,"No"
"K2-254 c","K Hot Superterran","Transit",5.43,2.19,17.7,589,12.1,742,4.37450250455373,0.32,"Yes"
"Kepler-57 b","K Hot Superterran","Transit",115,2.19,126,964,5.73,2100,0.6,0.26,"No"
"K2-247 c","K Hot Superterran","Transit",5.43,2.19,34.7,698,6.49,841,4.37450250455373,0.28,"No"
"K2-166 b","G Hot Superterran","Transit",5.43,2.19,389,1278,8.53,1555,4.37450250455373,0.25,"No"
"Kepler-1630 b","K Cold Superterran","Transit",5.43,2.19,0.18,187,509,1080,5.01,0.44,"Yes"
"Kepler-1042 b","K Hot Superterran","Transit",5.43,2.19,43.9,740,10.1,2149,4.79,0.27,"No"
"Kepler-174 d","K Warm Superterran","Transit",5.43,2.19,0.59,251,247,1254,4.9,0.68,"Yes"
"TOI-2136 b","M Hot Superterran","Transit",6.37,2.19,4,406,7.85,108,4.6,0.5,"Yes"
"Kepler-1109 b","G Hot Superterran","Transit",5.43,2.19,13.8,554,37.6,2234,3.8,0.33,"Yes"
"K2-146 c","M Hot Superterran","Transit",7.49,2.19,14.1,556,4,258,5,0.33,"Yes"
"TOI-2257 b","M Warm Superterran","Transit",5.45,2.19,0.74,253,35.2,188,4.37450250455373,0.72,"Yes"
"HD 28109 b","F Hot Superterran","Transit",18.5,2.2,164,1008,22.9,455,1.1,0.25,"No"
"Kepler-169 e","K Hot Superterran","Transit",5.48,2.2,28.9,667,13.8,1325,13.8,0.29,"Yes"
"Kepler-100 c","G Hot Superterran","Transit",7.05,2.2,210,1096,12.8,993,6.46,0.25,"No"
"Kepler-229 b","K Hot Superterran","Transit",5.48,2.2,75.4,847,6.25,2694,1.1,0.26,"No"
"Kepler-23 d","G Hot Superterran","Transit",17.6,2.2,163,1026,15.3,2725,6.61,0.25,"No"
"Kepler-84 f","F Hot Superterran","Transit",5.48,2.2,26.1,650,44.6,3339,3.98,0.29,"Yes"
"Kepler-32 b","M Hot Superterran","Transit",1303,2.2,20.4,611,5.9,1056,2.69,0.31,"Yes"
"Kepler-1137 b","F Hot Superterran","Transit",5.48,2.2,162,1026,23.9,3006,1.58,0.25,"No"
"HD 110067 b","K Hot Superterran","Transit",5.69,2.2,69.1,829,9.11,104,8.1,0.26,"No"
"K2-325 b","M Hot Superterran","Transit",5.48,2.2,5.1,432,6.93,364,4.37450250455373,0.46,"Yes"
"HN Lib b","M Warm Superterran","Radial Velocity",5.46,2.2,0.51,242,36.1,20.4,4.4,0.65,"Yes"
"Kepler-513 b","G Hot Superterran","Transit",5.48,2.2,37.5,711,28.9,1527,5.5,0.28,"No"
"Kepler-122 d","F Hot Superterran","Transit",5.48,2.2,77.5,853,21.6,3351,3.89,0.26,"No"
"Kepler-1378 b","K Hot Superterran","Transit",5.48,2.2,16,575,12,1651,6.46,0.32,"Yes"
"Kepler-240 c","K Hot Superterran","Transit",102,2.2,54.6,782,7.95,2436,0.9,0.27,"No"
"Kepler-307 c","G Hot Superterran","Transit",3.64,2.2,66.2,820,13.1,1877,13.5,0.26,"No"
"K2-332 b","M Warm Superterran","Transit",5.48,2.2,1.17,298,17.7,401,4.37450250455373,0.73,"Yes"
"Kepler-1862 b","G Hot Superterran","Transit",5.49,2.2,42.4,734,16.1,4018,0.4,0.28,"No"
"TOI-178 e","K Hot Superterran","Transit",3.86,2.21,21.6,619,9.96,204,7.1,0.3,"Yes"
"Kepler-1861 b","G Hot Superterran","Transit",5.5,2.21,34.4,696,40,2707,2.8,0.28,"No"
"Kepler-19 b","G Hot Superterran","Transit",6.1,2.21,105,891,9.29,712,1.9,0.26,"No"
"Kepler-1162 b","G Hot Superterran","Transit",5.52,2.21,13.2,548,32.6,3066,4.37,0.34,"Yes"
"Kepler-55 c","K Hot Superterran","Transit",69.8,2.21,3.93,405,42.2,1887,2.34,0.5,"Yes"
"Kepler-862 b","G Hot Superterran","Transit",5.52,2.21,518,1372,3.15,3388,4.79,0.25,"No"
"Kepler-989 b","K Hot Superterran","Transit",5.52,2.21,69.4,830,7.96,1604,4.68,0.26,"No"
"OGLE-2005-BLG-390L b","Superterran","Microlensing",5.5,2.21,842.853577881192,971.489553461696,3285,21526,4.37450250455373,0.257026875699888,"No"
"Kepler-110 c","G Hot Superterran","Transit",5.52,2.21,48.2,757,31.7,1913,4.47,0.27,"No"
"GJ 581 c","M Hot Superterran","Radial Velocity",5.5,2.21,2.51,361,12.9,20.5,4.3,0.6,"Yes"
"Kepler-632 b","G Hot Superterran","Transit",5.52,2.21,14.4,560,31,1138,3.02,0.33,"Yes"
"K2-275 c","K Hot Superterran","Transit",5.52,2.21,32.9,688,8.44,402,4.37450250455373,0.28,"No"
"Kepler-1026 b","K Hot Superterran","Transit",5.52,2.21,6.18,453,36.5,1145,4.57,0.42,"Yes"
"K2-335 b","F Hot Superterran","Transit",5.52,2.21,199,1081,12.3,1819,4.37450250455373,0.25,"No"
"Kepler-1980 b","G Hot Superterran","Transit",5.52,2.21,39.9,723,33,5575,4.37450250455373,0.28,"No"
"Kepler-1874 b","K Hot Superterran","Transit",5.52,2.21,3.82,402,56.6,1330,13.8,0.51,"Yes"
"Kepler-1655 b","G Hot Superterran","Transit",5.4,2.21,133,971,11.9,695,2.56,0.25,"No"
"K2-374 c","G Hot Superterran","Transit",5.53,2.21,67.3,824,16.4,1172,4.37450250455373,0.26,"No"
"Kepler-538 b","G Hot Superterran","Transit",12.9,2.21,5.36,434,81.7,508,5.3,0.45,"Yes"
"Kepler-1151 b","G Hot Superterran","Transit",5.56,2.22,4.45,417,65.6,2225,4.37,0.48,"Yes"
"Kepler-1496 b","F Hot Superterran","Transit",5.56,2.22,19.5,604,64.7,4265,2.95,0.31,"Yes"
"Kepler-1432 b","F Hot Superterran","Transit",5.56,2.22,97.8,904,23.9,7083,3.47,0.26,"No"
"Kepler-1609 b","F Hot Superterran","Transit",5.56,2.22,13.9,555,114,5955,3.02,0.33,"Yes"
"KOI-7368 b","K Hot Superterran","Transit",5.56,2.22,105,921,6.84,864,0.036,0.26,"No"
"Kepler-938 b","G Hot Superterran","Transit",5.56,2.22,9.26,501,52.6,3855,4.27,0.37,"Yes"
"Kepler-235 e","M Hot Superterran","Transit",5.56,2.22,1.74,330,46.2,1396,6,0.67,"Yes"
"HD 22496 b","K Hot Superterran","Radial Velocity",5.57,2.22,25.8,648,5.09,44.3,4.37450250455373,0.29,"Yes"
"Kepler-1949 b","F Hot Superterran","Transit",5.56,2.22,4167,2311,2.21,8536,4.37450250455373,0.24,"No"
"KMT-2018-BLG-1988L b","Superterran","Microlensing",5.56,2.22,842.853577881192,971.489553461696,79940.7559943925,13535,4.37450250455373,0.257026875699888,"No"
"Kepler-1701 b","K Warm Superterran","Transit",5.57,2.22,1.42,313,169,1905,4.37450250455373,0.71,"Yes"
"K2-384 f","M Hot Superterran","Transit",5.57,2.22,2.27,353,13.6,269,4.37450250455373,0.62,"Yes"
"Kepler-1753 b","K Hot Superterran","Transit",5.59,2.23,19.8,606,16,2308,6.2,0.31,"Yes"
"Kepler-1782 b","K Hot Superterran","Transit",5.6,2.23,82.1,865,5.76,997,14,0.26,"No"
"Kepler-165 c","K Hot Superterran","Transit",5.6,2.23,27.9,661,15.3,1829,10.5,0.29,"Yes"
"Kepler-235 b","M Hot Superterran","Transit",5.6,2.23,57.8,793,3.34,1396,6,0.27,"No"
"K2-17 b","K Hot Superterran","Transit",5.6,2.23,7.23,468,18,408,4.37450250455373,0.4,"Yes"
"HD 158259 c","G Hot Superterran","Radial Velocity",5.6,2.23,780,1520,3.43,88.2,4.37450250455373,0.25,"No"
"Kepler-1186 b","G Hot Superterran","Transit",5.6,2.23,70.6,833,16.1,4361,4.47,0.26,"No"
"HD 1461 c","G Hot Superterran","Radial Velocity",5.59,2.23,105,904,13.5,76.5,7.12,0.26,"No"
"Kepler-217 b","F Hot Superterran","Transit",5.6,2.23,1343,1741,5.37,3602,2.63,0.24,"No"
"Kepler-84 b","F Hot Superterran","Transit",40,2.23,238,1130,8.73,3339,3.98,0.25,"No"
